family	treatment_iri	figure_iri	description	image_url	md5
Taccaceae	<http://treatment.plazi.org/id/89D4B46A5C83043EEDD1CA332F2BDF39>	<http://dx.doi.org/10.3897/phytokeys.114.29367.figure2>	Figure 2. Tacca khanhhoaensis V. S. Dang & Vuong. A Habit B Inflorescent much shorter leaves C Habitat.	https://binary.pensoft.net/fig/253671	9fb0162b98b899f64a7644fe643e211c
Taccaceae	<http://treatment.plazi.org/id/89D4B46A5C83043EEDD1CA332F2BDF39>	<http://dx.doi.org/10.3897/phytokeys.114.29367.figure3>	Figure 3. Tacca khanhhoaensis V. S. Dang & Vuong. A Inflorescence B Fruits C Flowers, top view showing perianth lobes, stamens and stigma D Outer perianth lobes E Inner perianth lobes F Inner surface of perianth tube G Anther and connective H Longitudinal section of Anther with a pair of theca I Outer involucral bracts J Inner involucral bracts K Stigmas L Finely pubescent hairs at apex of stigma lobes M Black hairs on style N Longitudinal section of flower O Transverse section of fruit P Transverse section of ovary Q Seeds.	https://binary.pensoft.net/fig/253672	cd8e7522c527dd852a44defc12e85fd0
Haustoriidae	<http://treatment.plazi.org/id/3620034AFFCAFFCA5FBDFCD5FCF3FE18>	<http://dx.doi.org/10.5281/zenodo.1458412>	FIGURE 1. Characteristic differences between H. galvezi sp. nov. and H. jayneae. A) Left is Haustorius galvezi sp. nov. and right is H. jayneae, curvature and girth of maxilliped outer plate; B) top is H. galvezi sp. nov. and bottom is H. jayneae, width vs. depth of gnathopod 1 coxa; C) top is H. galvezi sp. nov. and bottom is H. jayneae, shape of pereopod 7 coxa; D) top is H. galvezi sp. nov. and bottom is H. jayneae, cleft of telson. Drawings of H. jayneae from Foster & LeCroy (1991).	https://zenodo.org/record/1458412/files/figure.png	f9a2b2023c9c9886a821e5baef2bbf63
Haustoriidae	<http://treatment.plazi.org/id/FF1987D5FFDDFFB6FE7529669C1CFB02>	<http://dx.doi.org/10.5281/zenodo.5214341>	Figure 5. Haustorius orientalis: pereiopod 6 (1); pereiopod 7 (2); coxa 2 (3); coxa 3 (4); telson (5). Scale bar: 100 mm.	https://zenodo.org/record/5214341/files/figure.png	84080f9f2940df8396ac152433f22120
Rhizophysidae	<http://treatment.plazi.org/id/0384A8378201FF8DFF37FA6EFD1B7913>	<http://dx.doi.org/10.5281/zenodo.3773381>	FIGURE 4. Lower (left) and upper (right) views of Physalis pelasgica. From Bosc (1802, Plate 16, figs. 1 and 2).	https://zenodo.org/record/3773381/files/figure.png	71b4344d39ae33c467cf6cab1b071d2c
Ophiocordycipitaceae	<http://treatment.plazi.org/id/03829D56F10AFFF5FF6EF80F25EDFBE6>	<http://dx.doi.org/10.5281/zenodo.7359867>	FIGURE 2. Ophiocordyceps ovatospora. a. Fungus on termite. b. Fertile part of stroma. c, d. Cross-section of ascoma showing perithecial arrangement. e, f. Asci. g–i. Ascospores. j, k. Colonies on PDA medium. l–o. Conidiogenous cells and conidia. Scale bars: a = 2 cm, b = 0.5 cm, c = 200 µm, d = 100 µm, e–f = 20 µm, g = 10 µm, h–i = 20 µm, j–k = 2 cm, l–o = 10 µm.	https://zenodo.org/record/7359867/files/figure.png	7b022fb35b2a992f5a2415bd2ae57286
Ophiocordycipitaceae	<http://treatment.plazi.org/id/038387FEFFF6751CFF2074B3FD4EBDE5>	<http://dx.doi.org/10.5281/zenodo.5419491>	FIGURE 2. Morphology of Ophiocordyceps furcatosubulata.a. Stroma arising from the larva of elaterid beetle buried in soil. b–c. Mature and immature stromata on larvae of elaterid beetle. d. Fertile part with immersed perithecia and a furcate sterile apex. e. The host of O. furcatosubulata; f. Front view of perithecia. g–j. Asci. k. Secondary ascospores. l. Colony on PDA. m–o. Conidiophores, conidiogenous cells and conidia. p. Chlamydospores. Scale bars: a, d–e = 5 mm; b–c, l = 10 mm; f = 500 μm; g–i = 50 μm; j–k = 5 μm; m = 10 μm; n-o = 4 μm; p = 20 μm.	https://zenodo.org/record/5419491/files/figure.png	9fd858dbda7d0355820b53084b81420a
Ophiocordycipitaceae	<http://treatment.plazi.org/id/286487CCFFC9FF89FF2BFD40F9C3FE1E>	<http://dx.doi.org/10.5281/zenodo.5575899>	FIGURE. Tolypocladium cucullae (HKAS 55588, holotype). a, b. Material of Tolypocladium cucullae. c. Ascostromata. d. Fertile head of ascostroma. e. Vertical section of stroma. f. Peridium. g–j.Asci. k. Apical cap of asci. l–o. Secondary ascospores. Scale Bars: d = 5 mm, e = 100 µm, f = 50 µm, g–j = 200 µm, k, l–o = 20 µm.	https://zenodo.org/record/5575899/files/figure.png	83741eda526af25ffc6f9915e0144fe3
Poecilasmatidae	<http://treatment.plazi.org/id/03927A324922FA21FC81FB01FCA2F923>	<http://dx.doi.org/10.5281/zenodo.4689093>	FIG. 12. — Geographic distribution of Glyptelasma carinatum (Hoek, 1883).	https://zenodo.org/record/4689093/files/figure.png	49976a78a181dc32248f8dacb2a473b0
Poecilasmatidae	<http://treatment.plazi.org/id/03927A324922FA3CFF4AFA64FB03FBC3>	<http://dx.doi.org/10.5281/zenodo.4689087>	FIG. 10. — A, B, Glyptelasma hamatum (Calman, 1919), SEAMOUNT 2, stn DW 267; A, left lateral view; B, dorsal filamentary appendage on prosoma; C, D, Glyptelasma carinatum (Hoek, 1883), SEAMOUNT 2, stn DW 267; C, left lateral view; D, dorsal filamentary appendages on prosoma. Scale bars: A, C, 5 mm; B, D, 2 mm.	https://zenodo.org/record/4689087/files/figure.png	51ee174eb032adb1d0913253e8e00f9c
Poecilasmatidae	<http://treatment.plazi.org/id/03927A324922FA3CFF4AFA64FB03FBC3>	<http://dx.doi.org/10.5281/zenodo.4689089>	FIG. 11. — Geographic distribution of Glyptelasma hamatum (Calman, 1919).	https://zenodo.org/record/4689089/files/figure.png	fb71329577fe62abdbf41807df165554
Gastrodontidae	<http://treatment.plazi.org/id/3D4B87E5FFD5C7188DBA8B4A711AF960>	<http://dx.doi.org/10.5281/zenodo.203499>	FIGURE 1. Geographical distribution of the new Atlantica (Canaridiscus) species.	https://zenodo.org/record/203499/files/figure.png	2ff68d610089412d984764d11919615c
Gastrodontidae	<http://treatment.plazi.org/id/3D4B87E5FFD5C7188DBA8B4A711AF960>	<http://dx.doi.org/10.5281/zenodo.203500>	FIGURE 2. A, a paratype (JSGC) of Atlantica saproxylophaga sp. nov., from the Garajonay National Park (La Gomera); B, holotype of A. anagaensis sp. nov., from Tafada mountain (Anaga, Tenerife); C, a shell of Helix textilis Shuttleworth, 1852, from Marcos y Cordero, La Palma.	https://zenodo.org/record/203500/files/figure.png	e71b9c1cbff4904aaa1f64f170e65ab7
Gastrodontidae	<http://treatment.plazi.org/id/3D4B87E5FFD5C7188DBA8B4A711AF960>	<http://dx.doi.org/10.5281/zenodo.203501>	FIGURE 3. Atlantica (Canaridiscus) saproxylophaga sp. nov. A, snail at early stage of dissection (left side); B, relation between the genital system and the muscles of the columellar muscle pack, mainly the right ommatophore retractor; C, genital system unfolded with three penis cross sections, proximal, intermediate and distal; D, E, details of the distal zone of the genital system; F, longitudinal section of the vas deferens – penis connection; G, detail of the albumen gland, talon and distal zone of the hermaphroditic duct with the \" ampulla \"; a, atrium; ag, albumen gland; am, ampulla; b, bridle between the atrium and the vas deferens; bb, buccal bulb; bc, bursa copulatrix; bcd, bursa copulatrix duct; cg, cerebral ganglia; cm, columellar muscle pack; go, genital orifice; hd, hermaphroditic duct; o, oviduct; or, ommatophore retractors; p, penis; pr, penis retractor; sp, spermoviduct; t, talon; v, vagina; vd, vas deferens. Scale bar of the figs A – C: 10 mm; that of all the others, 1 mm.	https://zenodo.org/record/203501/files/figure.png	e5c61131f7cfee23889d0d043af869ac
Calliphoridae	<http://treatment.plazi.org/id/038387DB8121F439FF0677F44F044ECA>	<http://dx.doi.org/10.5281/zenodo.5843472>	FIGURE 1. Distribution of Cyanus bourgaei (circles) and C. celikhanensis (square) in Turkey.	https://zenodo.org/record/5843472/files/figure.png	7b8885e5f5fd8fb6593b74f5ba86783c
Calliphoridae	<http://treatment.plazi.org/id/038387DB8124F43CFF06741049F74EAE>	<http://dx.doi.org/10.5281/zenodo.5843480>	FIGURE 4. Distribution of Cyanus eflanensis (circle), C. germanicopolitanus (squares), and C. hekimhanensis (triangle) in Turkey.	https://zenodo.org/record/5843480/files/figure.png	8848a3e5349ccc93e3cd029093867303
Calliphoridae	<http://treatment.plazi.org/id/038387DB8126F43EFF06735748034ED5>	<http://dx.doi.org/10.5281/zenodo.5843474>	FIGURE 2. Distribution of Cyanus cheiranthifolius var. cheiranthifolius (circles) and C. cheiranthifolius var. purpurascens (squares) in Turkey.	https://zenodo.org/record/5843474/files/figure.png	9372057268690d7a09b63de9a1fe0b76
Acastidae	<http://treatment.plazi.org/id/038D87E74C15FFA12C6FCE11FC2CFDBA>	<http://dx.doi.org/10.5281/zenodo.5056369>	Fig. 5. (A, B) Rhenops odremani, n. sp. Paratype, MBLUZ P­985; internal mold of pygidium. (A) dorsal view; (B) lateral view. (C­E) Greenops perijaensis, n. sp., latex cast of external mold in the holotype, MBLUZ P­1448. (C) Dorsal view; (D) frontal view; (E) lateral view.	https://zenodo.org/record/5056369/files/figure.png	b608ba5471576cc34aebdb3b7deaae64
Acastidae	<http://treatment.plazi.org/id/038D87E74C19FFA32C73CF91FE23FC05>	<http://dx.doi.org/10.5281/zenodo.5056367>	Fig. 4. Rhenops odremani, n. sp. (A–C) Cast made from holotype (an external mold), MBLUZ P­ 987, in (A) dorsal view; (B) frontal view; (C) lateral view; (D­F) Paratype, MBLUZ P­986; internal mold of cephalon in (D) dorsal view; (E) frontal view; (F) lateral view.	https://zenodo.org/record/5056367/files/figure.png	af60e6a967b6fe06ef85f152190fe9e3
Phlegethontiidae	<http://treatment.plazi.org/id/1506D355FFC4D22ED227F9B4E0EEFD5D>	<http://dx.doi.org/10.5281/zenodo.4665591>	FIG. 1. — Phosphateous nodule MNHN-SOT-II-101076a from the Stephanian B (Upper Carboniferous) of Montceau-les-Mines,France, containing the aistopod Phlegethontia sp. as preserved, in lateral left view. Abbreviations: cv, caudal vertebrae; sk, skull; st, soft tissues; tv, trunk vertebrae. Scale bar: 1 cm	https://zenodo.org/record/4665591/files/figure.png	b9d9559a2da2f4d828b737e0d63e7111
Phlegethontiidae	<http://treatment.plazi.org/id/1506D355FFC4D22ED227F9B4E0EEFD5D>	<http://dx.doi.org/10.5281/zenodo.4665595>	FIG. 2. — Right lateral view of the skeleton of Phlegethontia sp. (MNHN-SOT-II-101076b) from the Stephanian B (Upper Carboniferous) of Montceau-les-Mines, France: A, SEM photograph of the skull as preserved; B, interpretative drawing; C, 3D reconstruction of the head and the eight first vertebrae. The frame in A corresponds to the enlarged portion in Figure 3A. Abbreviations: d, dentary; j, jugal; l, lacrimal; mx, maxilla; n, naris; nas, nasal; nc, nuchal crest; ns, neural spine; orb, orbit; pc, palpebral cups; pe, posterior element of the mandible; pmx, premaxilla; prf, prefrontal; q, quadrate; sc, sagittal crest; sq, squamosal; tp, transverse process. Scale bars: 100 μm.	https://zenodo.org/record/4665595/files/figure.png	ac075ed334c090a5b509ed918a10d4c8
Phlegethontiidae	<http://treatment.plazi.org/id/1506D355FFC4D22ED227F9B4E0EEFD5D>	<http://dx.doi.org/10.5281/zenodo.4665599>	FIG. 3. — Detailed SEM views of: A, the anterior part of the upper jaw showing possible pedicellate teeth of Phlegethontia sp.(MNHN- SOT-II-101076b) from the Stephanian B (Upper Carboniferous) of Montceau-les-Mines, France; B, C, pedicellate teeth of the extant urodele Desmognathus monticola Dunn,1916.Arrows indicate zones of weakness. Abbreviation: p, pedicel. Scale bars: 100 μm.	https://zenodo.org/record/4665599/files/figure.png	ff02c9f7cd26674dc5e621ab8961a5bf
Cancellothyrididae	<http://treatment.plazi.org/id/039C0501FFD8DE10A4FDBAB14077FEBE>	<http://dx.doi.org/10.5281/zenodo.1216536>	FIGURE 1. Terebratulina austroamericana Zezina, 1981, conjoined shell. A. Dorsal view. B. Ventral view. C. Anterior view. D. Lateral view.E.Posterior view.	https://zenodo.org/record/1216536/files/figure.png	b7bb6ab9c86c28006727c3bc719be682
Cancellothyrididae	<http://treatment.plazi.org/id/039C0501FFD8DE10A4FDBAB14077FEBE>	<http://dx.doi.org/10.5281/zenodo.1216538>	FIGURE 2. Terebratulina austroamericana Zezina, 1981, A. Detailof puncta on the external surface of the dorsal valve, B. Detail of foramenand pedicle,C.Detail of ribornamentation, D.oblique viewof crura and fragmentof the loop.	https://zenodo.org/record/1216538/files/figure.png	9d7a6a2e75eb54f9a2b3f302fe3dc0d2
Cancellothyrididae	<http://treatment.plazi.org/id/03D087AEFFACFF8AFF19FA8F71C9FB06>	<http://dx.doi.org/10.5281/zenodo.5392951>	FIG. 8. — Terebratulina reevei Dall, 1920, Fiji, Lau Ridge, MUSORSTOM 10, stn CP 1394, 416 m: A-D, complete specimen (MNHN BRA-3083); A, B, dorsal and anterior views; C, D, SEM micrograph of dorsal interior to show brachidium and details of cardinalia; E-G, dorsal, lateral and anterior views of complete specimen (MNHN BRA-3084). Scale bars: A-C, E-G, 2 mm; D, 1 mm.	https://zenodo.org/record/5392951/files/figure.png	c08f2e8fcd3b8be93aa963a0a0f99128
